Name COL ROW E N
point1 380.066692 371.548170 304041.751032 2767786.688660
point2 267.226695 374.502021 303730.122755 2767776.300910
point3 119.402290 153.312826 303320.697646 2768343.650740
point4 391.747679 85.090968 304072.090921 2768533.508090
point5 551.534385 204.975454 304514.934315 2768221.825160
point6 406.788481 430.508168 304114.755767 2767632.414190
point7 222.561413 278.607495 303604.556617 2768023.114850
point8 557.213972 370.469082 304530.872258 2767793.539630
point9 250.598690 278.751136 303699.374273 2768024.280840
point10 469.136986 197.919284 304285.574147 2768239.894100
