Name COL ROW E N
point1 1522.155959 1486.908634 304041.751032 2767786.688660
point2 1070.211923 1499.238519 303730.122755 2767776.300910
point3 479.377181 616.397139 303320.697646 2768343.650740
point4 1567.056029 338.319404 304072.090921 2768533.508090
point5 2206.917651 818.583600 304514.934315 2768221.825160
point6 1627.549342 1723.457468 304114.755767 2767632.414190
point7 891.210132 1118.521819 303604.556617 2768023.114850
point8 2230.528386 1480.879879 304530.872258 2767793.539630
point9 1026.294899 1117.515376 303699.374273 2768024.280840
point10 1876.058213 792.897280 304285.574147 2768239.894100
