Name COL ROW E N
point1 588.147726 338.408373 304615.091952 2767875.951350
point2 602.763223 177.558736 304653.417813 2768297.704900
point3 334.362767 380.313802 303913.453497 2767761.405750
point4 101.275197 177.542044 303269.767831 2768286.753940
point5 447.757256 112.388390 304226.330362 2768463.339330
point6 436.848787 38.607153 304196.517470 2768655.074670
point7 167.715966 89.776022 303454.172162 2768513.358160
point8 321.916617 202.318259 303877.553273 2768225.853370
point9 112.001896 411.007748 303299.073073 2767679.252080
point10 501.104387 247.123005 304376.106819 2768113.507530
