Name COL ROW E N
point1 2353.664120 1355.425154 304615.091952 2767875.951350
point2 2407.697054 708.630491 304653.417813 2768297.704900
point3 1339.782696 1522.672995 303913.453497 2767761.405750
point4 405.337335 710.198909 303269.767831 2768286.753940
point5 1789.469565 447.066922 304226.330362 2768463.339330
point6 1746.989052 152.338960 304196.517470 2768655.074670
point7 673.339760 364.558349 303454.172162 2768513.358160
point8 1280.794799 809.205026 303877.553273 2768225.853370
point9 448.815285 1642.975384 303299.073073 2767679.252080
point10 2005.374284 988.907870 304376.106819 2768113.507530









